Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Australia and New Zealand,urban,Drinking water,2022,0.43694,118610.36101,Basic service
sdg,Central and Southern Asia,total,Drinking water,2000,37.30162,570128783.07314,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2000,40.03603,430412507.74411,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2000,30.81755,139716306.28423,Basic service
sdg,Central and Southern Asia,total,Drinking water,2001,36.91949,575037469.8321,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2001,39.44438,430367919.55724,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2001,31.01374,144669518.95051,Basic service
sdg,Central and Southern Asia,total,Drinking water,2002,36.57114,580231294.87677,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2002,38.85823,429844658.93731,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2002,31.30473,150386623.41744,Basic service
sdg,Central and Southern Asia,total,Drinking water,2003,36.21717,584959876.63756,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2003,38.26147,428822369.19049,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2003,31.58268,156137506.66574,Basic service
sdg,Central and Southern Asia,total,Drinking water,2004,35.83647,588893348.36998,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2004,37.65501,427211444.72694,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2004,31.78092,161681909.06756,Basic service
sdg,Central and Southern Asia,total,Drinking water,2005,35.30479,589831495.76593,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2005,37.00159,424607619.82981,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2005,31.5828,165223915.39059,Basic service
sdg,Central and Southern Asia,total,Drinking water,2006,34.80505,590703107.8127,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2006,36.32177,421210381.34321,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2006,31.53279,169492740.17661,Basic service
sdg,Central and Southern Asia,total,Drinking water,2007,34.30445,590927664.67281,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2007,35.63198,417177649.6326,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2007,31.48773,173750033.70154,Basic service
sdg,Central and Southern Asia,total,Drinking water,2008,33.87672,592070600.33556,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2008,35.04131,414017121.37492,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2008,31.44658,178053468.82273,Basic service
sdg,Central and Southern Asia,total,Drinking water,2009,33.28603,590283788.82822,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2009,34.19896,407789195.44892,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2009,31.41228,182494606.38246,Basic service
sdg,Central and Southern Asia,total,Drinking water,2010,32.77156,589735964.97132,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2010,33.45892,402642039.03812,Basic service
